Area de conhecimento,Área de Avaliação,subavaliação,campo estudo
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,ALGEBRA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,CONJUNTOS
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,LÓGICA MATEMÁTICA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,TEORIA DOS NÚMEROS
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,GRUPO DE ÁLGEBRA NÃO-COMUTATIVA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,ÁLGEBRA COMUTATIVA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,GEOMETRIA ALGÉBRICA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,ANÁLISE
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,ANÁLISE COMPLEXA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,ANÁLISE FUNCIONAL
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,ANÁLISE FUNCIONAL NÃO-LINEAR
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,EQUAÇÕES DIFERENCIAIS PARCIAIS
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,EQUAÇÕES DIFERENCIAIS FUNCIONAIS
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,GEOMETRIA E TOPOLOGIA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,GEOMETRIA DIFERÊNCIAL
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,TOPOLOGIA ALGÉBRICA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,TOPOLOGIA DAS VARIEDADES
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,SISTEMAS DINÂMICOS
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,TEORIA DAS SINGULARIDADES E TEORIA DAS CATÁSTROFES
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,TEORIA DAS FOLHEAÇÕES
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,MATEMÁTICA APLICADA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,FÍSICA MATEMÁTICA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,ANÁLISE NUMÉRICA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA,MATEMÁTICA DISCRETA E COMBINATÓRIA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,PROBABILIDADE E ESTATÍSTICA,TEORIA GERAL E FUNDAMENTOS DA PROBABILIDADE
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,PROBABILIDADE E ESTATÍSTICA,TEORIA GERAL E PROCESSOS ESTOCÁSTICOS
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,PROBABILIDADE E ESTATÍSTICA,TEOREMAS DE LIMITE
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,PROBABILIDADE E ESTATÍSTICA,PROCESSOS MARKOVIANOS
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,PROBABILIDADE E ESTATÍSTICA,ANÁLISE ESTOCÁSTICA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,PROBABILIDADE E ESTATÍSTICA,PROCESSOS ESTOCÁSTICOS ESPECIAIS
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,PROBABILIDADE E ESTATÍSTICA,ESTATÍSTICA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,PROBABILIDADE E ESTATÍSTICA,FUNDAMENTOS DA ESTATÍSTICA
CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,PROBABILIDADE E ESTATÍSTICA,INFERÊNCIA PARAMÉTRICA
