Instituição(IES),Nome do Curso,Grau,Modalidade,CC,CPC,ENADE,Situação
-,GESTÃO COMERCIAL,Tecnológico,Presencial,4,3,3,Em Atividade
-,REDES DE COMPUTADORES,Tecnológico,Presencial,2,-,2,Em Atividade
-,PEDAGOGIA,Licenciatura,Presencial,4,-,-,Em Atividade
-,MARKETING,Tecnológico,Presencial,4,-,-,Em Extinção
-,LOGÍSTICA,Tecnológico,Presencial,3,-,3,Em Atividade
-,INTERNET,Tecnológico,Presencial,3,-,-,Em Atividade
-,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,4,2,2,Em Atividade
-,ENGENHARIA MECÂNICA,Bacharelado,Presencial,4,-,-,Em Atividade
-,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
-,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
-,ENFERMAGEM,Bacharelado,Presencial,-,-,-,Em Extinção
-,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,-,-,-,Em Extinção
-,COMUNICAÇÃO SOCIAL,Bacharelado,Presencial,4,-,-,Em Atividade
-,COMPUTAÇÃO E INFORMÁTICA,Bacharelado,Presencial,-,-,-,Em Extinção
-,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,3,SC,2,Em Atividade
-,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Presencial,3,-,-,Em Extinção
-,ADMINISTRAÇÃO,Bacharelado,Presencial,-,SC,2,Em Atividade
-,ADMINISTRAÇÃO,Bacharelado,Presencial,3,-,-,Em Atividade
-,ADMINISTRAÇÃO,Bacharelado,Presencial,3,2,2,Em Atividade
-,ADMINISTRAÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
AD1,MARKETING DE VAREJO,Tecnológico,Presencial,-,SC,SC,Em Atividade
AD1,EVENTOS,Tecnológico,Presencial,-,-,-,Em Atividade
AD1,ESTILISMO,Tecnológico,Presencial,-,SC,4,Em Atividade
AD1,DESIGN DE MODA,Tecnológico,Presencial,-,SC,4,Em Atividade
ADJETIVO-CETEP,SEGURANÇA NO TRABALHO,Tecnológico,Presencial,4,-,-,Em Atividade
ADJETIVO-CETEP,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,3,-,-,Em Atividade
ADJETIVO-CETEP,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
ADJETIVO-CETEP,ENGENHARIA DE MINAS,Bacharelado,Presencial,4,-,-,Em Atividade
ADJETIVO-CETEP,AUTOMAÇÃO INDUSTRIAL,Tecnológico,Presencial,4,-,-,Em Atividade
AEMS,TURISMO,Bacharelado,Presencial,4,-,SC,Em Extinção
AEMS,SISTEMAS PARA INTERNET,Tecnológico,Presencial,-,-,-,Em Atividade
AEMS,SERVIÇO SOCIAL,Bacharelado,Presencial,4,3,4,Em Atividade
AEMS,SECRETARIADO EXECUTIVO,Bacharelado,Presencial,4,SC,2,Em Atividade
AEMS,RADIOLOGIA,Tecnológico,Presencial,-,-,-,Em Atividade
AEMS,PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,-,-,-,Em Atividade
AEMS,PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,-,-,-,Extinto
AEMS,PSICOLOGIA,Bacharelado,Presencial,4,SC,3,Em Atividade
AEMS,PRODUÇÃO SUCROALCOOLEIRA,Tecnológico,Presencial,-,-,-,Em Atividade
AEMS,PROCESSOS QUÍMICOS,Tecnológico,Presencial,3,-,-,Em Atividade
AEMS,PEDAGOGIA,Licenciatura,Presencial,5,-,-,Em Atividade
